ruleID,ruleName, groupID, groupName,expression,New Audiencing Rules,,
smartportal_RULE_GENERIC_ALL_PARTNERS, RULE_GENERIC_ALL_PARTNERS, smartportal_GENERIC_ALL_PARTNERS, GENERIC_ALL_PARTNERS, Status = 1,N/A,,"abc
efg"
smartportal_RULE_GENERIC_FRANCE_PARTNERS, RULE_GENERIC_FRANCE_PARTNERS, smartportal_GENERIC_FRANCE_PARTNERS, GENERIC_FRANCE_PARTNERS, CountryCode = FR,N/A; only for contents in special Repository,,
smartportal_RULE_GENERIC_INTERNAL_USERS, RULE_GENERIC_INTERNAL_USERS, smartportal_GENERIC_INTERNAL_USERS, GENERIC_INTERNAL_USERS, HPInternalUser = T,N/A; How to identify internal users? ,,
smartportal_RULE_GENERIC_NETHERLANDS_PARTNERS, RULE_GENERIC_NETHERLANDS_PARTNERS, smartportal_GENERIC_NETHERLANDS_PARTNERS, GENERIC_NETHERLANDS_PARTNERS, CountryCode = NL,N/A; only for contents in special Repository,,
smartportal_RULE_GENERIC_NORWAY_PARTNERS, RULE_GENERIC_NORWAY_PARTNERS, smartportal_GENERIC_NORWAY_PARTNERS, GENERIC_NORWAY_PARTNERS, CountryCode = NO,N/A; only for contents in special Repository,,
smartportal_RULE_GENERIC_PARTNER_PORTAL_ADMINISTRATOR, RULE_GENERIC_PARTNER_PORTAL_ADMINISTRATOR, smartportal_GENERIC_PARTNER_PORTAL_ADMINISTRATOR, GENERIC_PARTNER_PORTAL_ADMINISTRATOR, IsPartnerAdmin = T,N/A: only for PPA,,
smartportal_RULE_GENERIC_PURCHASING_DIRECT, RULE_GENERIC_PURCHASING_DIRECT, smartportal_GENERIC_PURCHASING_DIRECT, GENERIC_PURCHASING_DIRECT, Tier = 1,N/A: How to identify T1 & T2 partnerse? ,,
smartportal_RULE_GENERIC_SWEDEN_PARTNERS, RULE_GENERIC_SWEDEN_PARTNERS, smartportal_GENERIC_SWEDEN_PARTNERS, GENERIC_SWEDEN_PARTNERS, CountryCode = SE,N/A; only for contents in Sweden Repository,,
smartportal_RULE_LOCAL_TEST_PREVIEW, RULE_LOCAL_TEST_PREVIEW, smartportal_LOCAL_TEST_PREVIEW, LOCAL_TEST_PREVIEW, UserRights = LOCAL_TEST_PREVIEW,N/A: how to identify test users? ,,
smartportal_RULE_LOCAL_TEST_TOP_VALUE, RULE_LOCAL_TEST_TOP_VALUE, smartportal_LOCAL_TEST_TOP_VALUE, LOCAL_TEST_TOP_VALUE, UserRights = LOCAL_TEST_TOP_VALUE,N/A,,
